A(410),B(435),C(460),D(485),E(510),F(535),G(560),H(585),R(610),I(645),S(680),J(705),U(760),V(810),W(860),K(900),L(940),T(730),pH,EC  (dS/m),OC (%),P   (kg/ha),K (kg/ha),Ca (meq/100g),Mg (meq/100g),S (ppm),Fe (ppm),Mn (ppm),Cu (ppm),Zn (ppm),B (ppm)
1110.78,772.7,2089.9,643.89,1067.2,1357,390.79,401.26,1132.09,207.86,266.86,57.61,69.8,162.34,207.89,72.01,39.87,87.9,,,,,,,,,,,,,
1466.89,885.12,1991.12,648.89,1078.12,1310.12,346.98,339.98,1009.18,180.87,276.98,51.1,67.2,160.89,214.87,69.18,37.78,89.87,,,,,,,,,,,,,
1969.86,1055.19,2324.81,720.71,1132.73,1305.7,359.56,377.18,1175.39,200.28,241.28,55.06,64.47,167.91,204.99,80.51,39.26,81.04,6.08,0.14,0.19,43.45,271.04,13.23,4.6,13.24,125.11,40.71,2.52,2.12,0.89
1080.78,775.2,2068.04,640.32,1068.8,1355.11,391.27,401.72,1132.07,207.86,265.86,57.61,68.5,163.6,209.49,72.01,39.26,87.86,5.22,0.05,0.67,10.51,160.16,3.19,1.71,6.62,44.73,44.72,5.48,2.93,0.97
1178.79,794.13,2004.35,637.55,1037.22,1211.38,417.61,432.35,1180.07,224.37,221.72,63.11,61.25,161.88,203.86,81.65,43.82,78.77,5.96,0.13,0.21,14.72,209.44,6.6,3.52,29.8,157.45,50.18,4.34,1.52,1.01
1836.24,970.89,2314.88,687.89,1078.67,1301.31,391.13,401.98,1124.78,210.89,286.14,56.9,67.89,169.89,218.89,79.98,41.98,86.12,5.76,0.04,0.33,21.72,133.87,2.5,1.5,13.24,42.02,12.85,2.17,1.06,1.01
1761.98,909.89,2089.78,690.13,1003.56,1253.98,372.87,391.12,919.87,213.87,263.89,56.98,66.12,163.76,210.87,76.45,40.87,82.16,4.92,0.1,0.18,10.34,182.55,5.1,2.7,7.45,30.02,4.1,4.05,1.94,1.21
1906.13,973.89,2258.98,675.14,1058.13,1242.12,392.78,400.12,1160.34,207.12,293.14,60.12,65.34,175.61,231.98,72.12,40.17,80.18,5.77,0.07,1.14,37.67,206.89,7.3,2.5,16.56,19.74,36.62,2.32,0.77,1.17
2341.9,1067.23,2280.19,785.16,896.5,1629.13,369.24,1427.09,193.59,343.87,63.96,84.07,75.75,263.48,322.13,91.29,47.47,83.1,7.78,0.46,0.87,58.45,392.4,8.5,3,4.73,3.86,14.5,1.2,2.49,0.38
1906.13,973.89,2258.98,675.14,1058.13,1242.12,392.78,400.12,1160.34,207.12,293.14,60.12,65.34,175.61,231.98,80.17,40.17,80.18,5.1,0.06,0.48,75.65,152.4,4,3,21.3,45.51,16.92,1.23,0.55,0.6
1906.13,973.89,2258.98,675.14,1058.13,1242.12,392.78,400.12,1160.34,207.12,293.14,60.12,65.34,175.61,231.98,72.12,40.17,80.18,7.82,0.07,0.42,25.63,545.4,12.5,6.3,23.66,4.39,7.51,2.47,2.27,0.75
2733.17,977.47,2187.47,742.33,888.03,1723.46,375.15,367.57,1359.19,181.99,326.42,63.96,70.92,244.54,278.2,82.22,43.82,78.01,5.18,0.07,1.34,10.16,72.78,1.6,2.3,12.42,90.04,59.58,2.48,0.44,0.81
